objectid,title,url,last_update,created,item_count
cities,Idaho Cities and Towns,https://www.lib.uidaho.edu/digital/cities/,2023-12,2014,1236
postcards,Northwest Historical Postcards Collection,https://www.lib.uidaho.edu/digital/postcards/,2024-02,2014,811
plcphotos,Potlatch Lumber Company Photograph Collection,https://www.lib.uidaho.edu/digital/plcphotos/,2023-12,2014,1570
psychiana,Psychiana Digital Collection,https://www.lib.uidaho.edu/digital/psychiana/,2024-02,2014,1323
stonebraker,Stonebraker Photograph Collection,https://www.lib.uidaho.edu/digital/stonebraker/,2023-12,2014,528
campus,UI Campus Photograph Collection,https://www.lib.uidaho.edu/digital/campus/,2023-12,2014,3112
expforest,Experimental Forest and Savenac Nursery Photo Archive,https://www.lib.uidaho.edu/digital/expforest/,2023-12,2015,848
lcoh,Latah County Oral Histories,https://www.lib.uidaho.edu/digital/lcoh/,2023-12,2015,337
calnon,Mark Brooks Calnon Collection,https://www.lib.uidaho.edu/digital/calnon/,2023-12,2015,50
mcclure,McClure Center Archive,https://www.lib.uidaho.edu/digital/mcclure/,2023-12,2015,85
argonaut,The Argonaut Archive,https://www.lib.uidaho.edu/digital/argonaut/,2023-12,2015,6526
treesgrewtall,The Trees Grew Tall Photograph Collection,https://www.lib.uidaho.edu/digital/treesgrewtall/,2023-12,2015,242
whitepine,White Pine - King of Many Waters Collection,https://www.lib.uidaho.edu/digital/whitepine/,2023-12,2015,134
cccidaho,Idaho Civilian Conservation Corps,https://www.lib.uidaho.edu/digital/cccidaho/,2023-12,2016,1973
lcheritage,Latah County Community Heritage Collection,https://www.lib.uidaho.edu/digital/lcheritage/,2024-02,2016,733
rangecoll,Rangeland Center Collection,https://www.lib.uidaho.edu/digital/rangecoll/,2023-12,2016,68
lchsphotos,Bovill Historical Photograph Collection,https://www.lib.uidaho.edu/digital/lchsphotos/,2023-12,2017,153
phs,Potlatch Historical Society Collection,https://www.lib.uidaho.edu/digital/phs/,2023-12,2017,3470
pg2,University of Idaho Student Organizations Collection (PG2),https://www.lib.uidaho.edu/digital/pg2/,2024-02,2017,2634
ferl,Adult Salmon and Steelhead Migration Studies: 1996-2014,https://www.lib.uidaho.edu/digital/ferl/,2024-02,2018,156
arbornotes,Arbor Notes Collection,https://www.lib.uidaho.edu/digital/arbornotes/,2024-02,2018,65
cattle,Cattle Producer's Handbook Collection,https://www.lib.uidaho.edu/digital/cattle/,2023-12,2018,12
wim,"Washington, Idaho & Montana Railway Records Collection",https://www.lib.uidaho.edu/digital/wim/,2023-12,2018,11
archivalidaho,Archival Idaho Photograph Collection,https://www.lib.uidaho.edu/digital/archivalidaho/,2023-12,2019,1169
argonautphotos,Argonaut Photograph Collection,https://www.lib.uidaho.edu/digital/argonautphotos/,2023-12,2019,701
chatcolab,Chatcolab NW Leadership Lab Collection,https://www.lib.uidaho.edu/digital/chatcolab/,2023-12,2019,65
craigmountain,Craig Mountain Lumber Company,https://www.lib.uidaho.edu/digital/craigmountain/,2023-12,2019,104
hjccc,Historical Japanese Ceramic Comparative Collection (HJCCC),https://www.lib.uidaho.edu/digital/hjccc/,2019-11,2019,80
iwi,Idaho's Women of Influence,https://www.lib.uidaho.edu/digital/iwi/,2023-12,2019,30
1918flu,1918 Flu Pandemic Collection,https://www.lib.uidaho.edu/digital/1918flu/,2023-12,2020,73
aers,Agricultural Economics Research Series,https://www.lib.uidaho.edu/digital/aers/,2023-12,2020,401
campusart,Campus Artwork,https://www.lib.uidaho.edu/digital/campusart/,2023-12,2020,530
gemphotos,Gem of the Mountains Yearbook Photographic Archive,https://www.lib.uidaho.edu/digital/gemphotos/,2023-12,2020,1111
jazzfest,Lionel Hampton Jazz Festival Collection,https://www.lib.uidaho.edu/digital/jazzfest/,2023-12,2020,392
etd,Theses and Dissertation Collection,https://www.lib.uidaho.edu/digital/etd/,2023-12,2020,2435
blindfold,Leonard Feather Blindfold Tests,https://www.lib.uidaho.edu/digital/blindfold/,2020-09,2020,23
transitions,Transitions Journal,https://www.lib.uidaho.edu/digital/transitions/,2024-02,2020,80
camasrailroad,Camas Prairie Railroad Time Tables,https://www.lib.uidaho.edu/digital/camasrailroad/,2023-12,2021,137
lrcdp,Campus Planning History,https://www.lib.uidaho.edu/digital/lrcdp/,2023-12,2021,11
ella-fitzgerald,Ella Fitzgerald Collection,https://www.lib.uidaho.edu/digital/ella-fitzgerald/,2023-12,2021,42
ernieday,Ernie Day Photograph Collection,https://www.lib.uidaho.edu/digital/ernieday/,2023-12,2021,16
riegger,"Hal Riegger Papers, 1981-1986",https://www.lib.uidaho.edu/digital/riegger/,2023-12,2021,506
hwhi,Here We Have Idaho Archive,https://www.lib.uidaho.edu/digital/hwhi/,2023-12,2021,54
hiroshima,Moving Forward While Looking Back,https://www.lib.uidaho.edu/digital/hiroshima/,2023-12,2021,83
dodson,Richard W. Dodson Collection of Science Fiction,https://www.lib.uidaho.edu/digital/dodson/,2023-12,2021,120
shitamae,Shitamae Family Letters,https://www.lib.uidaho.edu/digital/shitamae/,2023-12,2021,132
blot,The Blot Magazine Archive,https://www.lib.uidaho.edu/digital/blot/,2023-12,2021,92
coursecatalogs,University of Idaho General Catalogs,https://www.lib.uidaho.edu/digital/coursecatalogs/,2023-12,2021,57
queered,Idaho Queered,https://www.lib.uidaho.edu/queered/,2021-05,2021,45
cheatham,Doc Cheatham Collection,https://www.lib.uidaho.edu/digital/cheatham/,2023-12,2022,63
raney,Franklin Raney Photograph Collection,https://www.lib.uidaho.edu/digital/raney/,2023-12,2022,44
tabor,George W. Tabor Photographs,https://www.lib.uidaho.edu/digital/tabor/,2023-12,2022,3148
bach-festival,Idaho Bach Festival Archive,https://www.lib.uidaho.edu/digital/bach-festival/,2023-12,2022,20
ames,Leo Ames Papers,https://www.lib.uidaho.edu/digital/ames/,2023-12,2022,38
moscon,MosCon Collection,https://www.lib.uidaho.edu/digital/moscon/,2024-02,2022,34
commencement,University of Idaho Commencement Programs,https://www.lib.uidaho.edu/digital/commencement/,2023-12,2022,169
winr,Women in Natural Resources,https://www.lib.uidaho.edu/digital/winr/,2023-12,2022,83
blackhistory,Black History at the University of Idaho,https://www.lib.uidaho.edu/blackhistory/,2022-02,2022,628
mccall,McCall Public Library Collection,https://www.lib.uidaho.edu/digital/mccall/,2022-05,2022,1409
bukvich,Professor Daniel Bukvich Composition Collection,https://www.lib.uidaho.edu/digital/bukvich/,2022-12,2022,28
bpf,Buddhist Peace Fellowship Digital Collection,https://www.lib.uidaho.edu/digital/bpf/,2023-12,2023,102
cnr,College of Natural Resources Collection,https://www.lib.uidaho.edu/digital/cnr/,2023-12,2023,50
stockcerts,Earl Bennett Stock Certificates,https://www.lib.uidaho.edu/digital/stockcerts/,2023-12,2023,1103
flora,Flora of Idaho and Washington,https://www.lib.uidaho.edu/digital/flora/,2023-12,2023,148
genesee-news,The Genesee News,https://www.lib.uidaho.edu/digital/genesee-news/,2023-12,2023,84
theatre,History of Theatre at the U of I,https://www.lib.uidaho.edu/digital/theatre/,2023-12,2023,36
sanborn,Idaho Sanborn Maps,https://www.lib.uidaho.edu/digital/sanborn/,2023-12,2023,198
tpa,Idaho Timber Protective Association Reports,https://www.lib.uidaho.edu/digital/tpa/,2023-12,2023,42
moscowcoop,Moscow Food Co-op Collection,https://www.lib.uidaho.edu/digital/moscowcoop/,2023-12,2023,338
fiddlers,National Oldtime Fiddlers' Collection,https://www.lib.uidaho.edu/digital/fiddlers/,2023-12,2023,116
uief,UIEF Research Exchange,https://www.lib.uidaho.edu/digital/uief/,2024-02,2023,329
coltrane,"Alice Coltrane, Jazz Spiritualism",https://www.lib.uidaho.edu/digital/coltrane/,,2024,13
hohp,Hispanic Oral History Project Interviews,https://www.lib.uidaho.edu/digital/hohp/,2023-12,2024,24
rwhp,Rural Women's History Project,https://www.lib.uidaho.edu/digital/rwhp/,2023-12,2024,106
latahlegacy,Latah Legacy Collection,https://www.lib.uidaho.edu/digital/latahlegacy/,2024-12,2024,102
t-abraham,Terry Abraham Web Archive,https://www.lib.uidaho.edu/special-collections/t-abraham/,,2018,38
fridayletter,The Friday Letter Archive,https://www.lib.uidaho.edu/digital/fridayletter/,,2019,629
campushistory,University of Idaho: Then and Now,https://www.lib.uidaho.edu/digital/campushistory/,,2019,27
crabtree,Donald E. Crabtree Lithic Technology Collection,https://www.lib.uidaho.edu/digital/crabtree/,2024-09,2024,7545
otherfaces,"Other Faces, Other Lives",https://www.lib.uidaho.edu/digital/otherfaces/,2024-01,2024,10
womenscenter,University of Idaho Women's Center Records,https://www.lib.uidaho.edu/digital/womenscenter/,2024-02,2024,509
mainstreet,Main Street Video,https://www.lib.uidaho.edu/digital/mainstreet/,2024-04,2024,34
silver-gold,Silver and Gold Book,https://www.lib.uidaho.edu/digital/silver-gold/,2024-04,2024,35
latahsites,Latah County Historic Places,https://www.lib.uidaho.edu/digital/latahsites/,2024-05,2024,90
ictws,Idaho Chapter of the Wildlife Society Collection,https://www.lib.uidaho.edu/digital/ictws/,2024-06,2024,855
cougar-dave,Cougar Dave Collection,https://www.lib.uidaho.edu/digital/cougar-dave/,2024-07,2024,290
pses,"Plant, Soil, and Entomological Sciences Records",https://www.lib.uidaho.edu/digital/pses/,2024-09,2024,56
wwami,WWAMI Scrapbook,https://www.lib.uidaho.edu/digital/wwami/,2024-10,2024,154
